Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_2,6600,1,bbbb,124,GooglePlay,2025-07-31,25300,4505
Order Complete (App),,ruby_3,11000,1,bbbb,124,GooglePlay,2025-07-31,7700,4505
Order Complete (App),,ruby_5,55000,15,ÃµÈá,547,GooglePlay,2025-07-17,2211000,9
Order Complete (App),,ruby_2,6600,6,¼Û¼³Á¤º´,177,GooglePlay,2025-07-26,58300,2785
Order Complete (App),,ruby_1,1100,9,Àå¼öÃ´ÁØ°æ,268,GooglePlay,2025-07-22,33000,564
Order Complete (App),,ruby_1,1100,9,Àå¼öÃ´ÁØ°æ,268,GooglePlay,2025-07-22,33000,564
Order Complete (App),,ruby_5,55000,6,yad,277,GooglePlay,2025-07-26,152900,448
Order Complete (App),,ruby_1,1100,9,Àå¼öÃ´ÁØ°æ,268,GooglePlay,2025-07-22,30800,564
Order Complete (App),,ruby_4,33000,13,Á¹¾÷¾Ù¹üÀ»ÇÇÁö¸¶,170,GooglePlay,2025-07-19,0,2827
Order Complete (App),,ruby_1,1100,9,Àå¼öÃ´ÁØ°æ,268,GooglePlay,2025-07-22,29700,564
Order Complete (App),,ruby_1,1100,9,Àå¼öÃ´ÁØ°æ,268,GooglePlay,2025-07-22,27500,564
Order Complete (App),,ads_remove,7700,14,¿îÀÓ¼öÁ¤,228,GooglePlay,2025-07-18,0,1518
Order Complete (App),,ruby_1,1100,2,´ë¿ù°Ë°´,90,GooglePlay,2025-07-30,11000,5548
Order Complete (App),,ruby_1,1100,2,´ë¿ù°Ë°´,90,GooglePlay,2025-07-30,9900,5548
Order Complete (App),,ruby_1,1100,2,´ë¿ù°Ë°´,90,GooglePlay,2025-07-30,7700,5548
Order Complete (App),,ruby_4,33000,6,µµÄ¡¾ß,275,GooglePlay,2025-07-16,260700,447
