순위,UUID,닉네임,점수,
293,db13fa80-647b-11f0-9219-f9e5d8ffaccf,GaDo,247,
293,cbf112a0-6268-11f0-807b-b56290a6427d,퐁뚱,247,
293,bb9528c0-637a-11f0-8b36-5752c058936c,kwr9458,247,
293,b35181b0-64ef-11f0-998d-6361b2224259,초록메뚜기,247,
293,9f59db20-649b-11f0-814e-7d3df55868b8,피자세이버,247,
293,9e15e300-6557-11f0-89db-abf6ccd76876,빙밍,247,
293,9dfb1b30-623a-11f0-8ed7-4f4ea466921e,내가구운와플,247,
293,9bb46f70-64bf-11f0-9779-d31d6e85e24e,Nospoon,247,
293,990e7120-658d-11f0-adae-f1d880840468,닷지,247,
293,905a18e0-663c-11f0-8b63-2511bd743353,콩쥐,247,
293,8e466490-644e-11f0-bfa2-af41fddaac3d,니가킬러,247,
293,88cea650-6424-11f0-a684-2b9cd36018bc,reso,247,
293,85d8dac0-6478-11f0-9e27-35530581f5ae,흑사,247,
293,809b3510-62ea-11f0-a53e-f720860fcc8a,달록,247,
293,57fc97d0-6384-11f0-8ea7-a17bafa0e4d0,구구가가,247,
293,56fcb660-63b8-11f0-8465-f716200b7246,저닐,247,
293,56514cc0-625b-11f0-a09e-af85dec66bcf,쩰리,247,
293,52c532a0-62c5-11f0-9c90-0dce0c3e38c5,독각룡,247,
293,2286bc80-64e1-11f0-998d-6361b2224259,강통,247,
293,1ed8be80-6306-11f0-a53e-f720860fcc8a,PNPRS,247,
293,189e8e30-63da-11f0-b5a1-97526412eaf0,관절이아프구나,247,
293,177a8a20-63e6-11f0-849d-3b3a1fc71a59,김민교,247,
293,16463f10-6255-11f0-85ab-834eae295807,kreams,247,
293,0f044390-6459-11f0-8df0-a9be6ca1bee2,왕호야,247,
293,05427770-639e-11f0-8ad1-495afdf38cf0,마틴왕,247,
323,ff7e0600-6245-11f0-807b-b56290a6427d,김씨표류기인가,246,
323,e6840be0-6312-11f0-b4ac-230641ea7477,제명,246,
323,e334e480-650d-11f0-998d-6361b2224259,dongsmas,246,
323,d5315a00-63e4-11f0-96dc-5f8ee1571586,널리,246,
323,c68429a0-6219-11f0-bbfd-8564365ef7ff,duck,246,
323,c4ff87d0-624d-11f0-807b-b56290a6427d,몽수,246,
323,c27ff700-63fc-11f0-89c3-81bc4ed5aa4e,오뎅요,246,
323,b87858e0-64ad-11f0-a8b2-13458b8aee05,은선,246,
323,ade91840-61fd-11f0-8879-5f895f1781fe,허씨,246,
323,96847800-6376-11f0-81ce-77cec8a0fab2,고요랑,246,
323,94ed98f0-6245-11f0-9b9e-13c7a7dd6c88,지피지기,246,
323,906998f0-636d-11f0-9eba-319c3c5b72eb,국세청,246,
323,8d4a4420-6247-11f0-807b-b56290a6427d,차무식,246,
323,7fad7460-6213-11f0-9813-b7579b20c221,페코,246,
323,6d9e7b90-62de-11f0-a53e-f720860fcc8a,용우니,246,
323,6a395ab0-63a6-11f0-bf20-b3f2ea84f71a,난세0,246,
323,55e65180-6301-11f0-af00-9b7f567d02d1,이니,246,
323,45dc9060-6441-11f0-bb35-df6429295e24,신비로운다람쥐,246,
323,41726650-62be-11f0-b78d-9fbbdf7f23fb,낭만표류기,246,
323,38f90cb0-6398-11f0-9e16-f1cd993522e6,다이빙,246,
323,38e89fd0-6215-11f0-9ed2-2327c5a1ff14,오징엉가,246,
323,32230250-65b0-11f0-8b44-3ff58a49da64,듀랜달,246,
323,2db2f2f0-620b-11f0-b6b8-890977889e3d,김다미,246,
323,25d1c420-63b5-11f0-8f63-fd02b502cb0c,K8,246,
323,1e3f1660-62e1-11f0-8e55-53f16de9a7ce,플오,246,
323,136bf580-62cf-11f0-a89f-3182c3b8adb5,에드몽,246,
323,127efc20-643d-11f0-99c8-7b44769d223b,헬랑구,246,
323,0d41e570-63dd-11f0-b0c8-0be5c747fc57,이오스,246,
323,0c079460-62a3-11f0-9ad3-4d475483bc38,은소,246,
352,f5c0e1c0-631f-11f0-8900-17942e280829,re001,245,
352,e4a81540-6228-11f0-93bd-4f6c20959660,피릿,245,
352,e41d44d0-63b1-11f0-8789-375ece2eb98d,은빛치우,245,
