Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_5,55000,3,태율태양,339,1288529,110,1,GooglePlay,2025-08-26,627000,1993
Order Complete (App),,ruby_2,6600,42,심대표,644,94873,0,1,GooglePlay,2025-07-18,1350800,24
Order Complete (App),,ruby_1,1100,42,심대표,644,92748,0,1,GooglePlay,2025-07-18,1349700,24
Order Complete (App),,ruby_5,55000,42,깐세,372,363864,110,1,GooglePlay,2025-07-17,137500,855
Order Complete (App),,ruby_4,33000,3,태율태양,313,850229,8030,1,GooglePlay,2025-08-26,627000,1993
Order Complete (App),,ruby_4,33000,3,태율태양,313,850229,1430,1,GooglePlay,2025-08-26,561000,1993
Order Complete (App),,ruby_6,110000,3,태율태양,311,237829,2530,1,GooglePlay,2025-08-26,451000,1993
Order Complete (App),,ruby_4,33000,1,앙마곰,68,1601,0,1,GooglePlay,2025-08-27,7700,11187
Order Complete (App),,ruby_4,33000,37,Raid,925,62137,0,1,GooglePlay,2025-07-22,4922500,4
Order Complete (App),,ruby_4,33000,25,teamnose,426,2975,110,1,GooglePlay,2025-08-03,639100,283
Order Complete (App),,ads_remove,7700,1,혁이야,18,205435,0,0,GooglePlay,2025-07-15,0,99999999
Order Complete (App),,ruby_3,11000,19,김난신,446,247875,440,1,GooglePlay,2025-08-09,493900,166
Order Complete (App),,ruby_1,1100,32,뷔제,376,60901,220,1,GooglePlay,2025-07-28,27500,758
Order Complete (App),,ruby_3,11000,25,조엘,390,8478,0,1,GooglePlay,2025-08-04,320100,499
Order Complete (App),,ruby_1,1100,40,이재영구속,379,2269,0,1,GooglePlay,2025-07-19,95700,755
Order Complete (App),,ads_remove,7700,1,후운,26,83525,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ads_remove,7700,2,레넨,41,117280,0,1,GooglePlay,2025-08-26,0,15651
Order Complete (App),,ads_remove,7700,1,앙마곰,4,10000,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ruby_4,33000,30,냉균,488,277218,1320,1,GooglePlay,2025-07-29,689700,109
Order Complete (App),,ruby_5,55000,42,깐세,368,272024,110,1,GooglePlay,2025-07-17,82500,949
Order Complete (App),,ruby_1,1100,24,조승연,746,236749,110,1,GooglePlay,2025-08-04,2799500,15
Order Complete (App),,ruby_1,1100,24,조승연,746,236749,0,1,GooglePlay,2025-08-04,2798400,15
Order Complete (App),,ruby_3,11000,1,버몬드,25,60505,0,1,GooglePlay,2025-08-27,0,18865
Order Complete (App),,ruby_2,6600,5,플라타너스s,176,5614,0,1,GooglePlay,2025-08-24,18700,5467
Order Complete (App),,ruby_3,11000,33,허어어니,563,42524,2530,1,GooglePlay,2025-07-27,1062600,37
Order Complete (App),,ruby_3,11000,33,허어어니,563,42524,330,1,GooglePlay,2025-07-27,1040600,37
Order Complete (App),,ruby_3,11000,39,허요허요,431,2491,110,1,GooglePlay,2025-07-21,200200,226
Order Complete (App),,ruby_1,1100,31,하늘고백,374,257,0,1,GooglePlay,2025-07-29,26400,817
Order Complete (App),,ruby_6,110000,39,럭키스트라이크,771,251286,13530,1,OneStore,2025-07-21,2160400,12
Order Complete (App),,ruby_2,6600,42,깐세,367,286482,1980,1,GooglePlay,2025-07-17,82500,990
Order Complete (App),,ruby_3,11000,42,깐세,367,286482,220,1,GooglePlay,2025-07-17,64900,990
Order Complete (App),,ruby_2,6600,37,아까그넘,447,1768,0,1,GooglePlay,2025-07-23,611600,159
Order Complete (App),,ruby_4,33000,34,정동인,396,17308,0,1,GooglePlay,2025-07-26,80300,442
Order Complete (App),,ruby_2,6600,3,문학이,145,3522,0,1,GooglePlay,2025-08-26,42900,6067
Order Complete (App),,ruby_5,55000,11,Hotal,587,4775,0,1,GooglePlay,2025-08-18,1714900,30
Order Complete (App),,ruby_6,110000,24,금재곱,567,3988,2640,1,GooglePlay,2025-08-04,2247300,34
Order Complete (App),,ads_remove,7700,1,콩딸기,9,22000,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ruby_3,11000,41,태백,598,5379,2200,1,GooglePlay,2025-07-18,1128600,28
Order Complete (App),,ruby_3,11000,41,태백,598,5379,0,1,GooglePlay,2025-07-18,1106600,28
Order Complete (App),,ruby_5,55000,11,Hotal,581,7475,0,1,GooglePlay,2025-08-18,1659900,30
Order Complete (App),,ruby_2,6600,22,러미,351,19812,3520,1,GooglePlay,2025-08-07,130900,1399
Order Complete (App),,ruby_3,11000,22,러미,351,19812,1760,1,GooglePlay,2025-08-07,113300,1399
Order Complete (App),,ruby_1,1100,37,장수척준경,497,9301,0,1,GooglePlay,2025-07-22,605000,100
Order Complete (App),,ruby_2,6600,31,일해라정차장,527,3429,40,1,GooglePlay,2025-07-29,814000,66
Order Complete (App),,ruby_3,11000,31,초인고양이,487,97905,330,1,GooglePlay,2025-07-29,341000,110
Order Complete (App),,ads_remove,7700,1,손연,8,18000,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ruby_3,11000,33,허어어니,559,124926,0,1,GooglePlay,2025-07-27,1029600,38
Order Complete (App),,ruby_4,33000,32,밥이,556,692,0,1,GooglePlay,2025-07-28,933900,42
Order Complete (App),,ruby_2,6600,33,아루맘,517,18811,1980,1,GooglePlay,2025-07-26,411400,78
Order Complete (App),,ruby_3,11000,33,아루맘,517,18811,220,1,GooglePlay,2025-07-26,393800,78
Order Complete (App),,ruby_3,11000,334,동행,1248,172011,1210,0,OneStore,2024-09-29,4596800,5
Order Complete (App),,ruby_4,33000,25,아모르,366,38488,0,1,GooglePlay,2025-08-03,88000,1027
Order Complete (App),,ruby_3,11000,41,민들레옹,488,4212,0,1,GooglePlay,2025-07-18,183700,110
Order Complete (App),,ruby_2,6600,196,서기적,674,5098,770,0,OneStore,2024-09-30,164400,198
Order Complete (App),,ads_remove,7700,1,좌의정,8,12000,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ads_remove,7700,1,막달료,18,151925,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ruby_2,6600,1,은근슬젓,67,23692,0,1,GooglePlay,2025-08-27,7700,15632
Order Complete (App),,ruby_3,11000,41,민들레옹,487,59612,0,1,GooglePlay,2025-07-18,172700,110
Order Complete (App),,ruby_1,1100,8,한글로6자,245,148600,440,1,GooglePlay,2025-08-20,99000,3765
Order Complete (App),,ruby_1,1100,8,한글로6자,245,148600,440,1,GooglePlay,2025-08-20,99000,3765
Order Complete (App),,ads_remove,7700,1,햇빛투게더,5,8000,0,1,GooglePlay,2025-08-27,0,99999999
Order Complete (App),,ruby_1,1100,8,한글로6자,245,148600,220,1,GooglePlay,2025-08-20,96800,3765
Order Complete (App),,ruby_1,1100,8,한글로6자,245,148600,0,1,GooglePlay,2025-08-20,94600,3765
Order Complete (App),,ruby_4,33000,15,마들역,297,2755,0,1,GooglePlay,2025-08-12,73700,2154
